name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Obergünzburg Loipen,Germany,Bavaria,Obergünzburg,operating,no,yes,,,,,,,,europe,,http://www.langlauf-oberguenzburg.de/,https://openskimap.org/?obj=0144b11130906315cd8a11345a46db509b38bbfe,0144b11130906315cd8a11345a46db509b38bbfe,Point,47.835831,10.419030,https://www.skimap.org/SkiAreas/view/17729
,Russia,Moscow Oblast,,operating,no,yes,,2,27,217,243,,,europe,,,https://openskimap.org/?obj=0144f58d-444a-423d-bdfc-f118b14dccb3,0144f58d-444a-423d-bdfc-f118b14dccb3,Point,56.142186,37.402111,
,Norway,Troms og Finnmark,Tromso,operating,yes,no,0,,34,46,79,1,1,europe,,,https://openskimap.org/?obj=0151113d-c41a-49ce-ad32-485a238e2625,0151113d-c41a-49ce-ad32-485a238e2625,Point,69.649277,18.915732,
Lagorai,Italy,Trento,,operating,yes,no,10,,448,1594,2041,5,2,europe,,https://www.brocon.it/,https://openskimap.org/?obj=015bc40cac21393feded45673c2418c6a5389784,015bc40cac21393feded45673c2418c6a5389784,Point,46.104423,11.659701,https://www.openstreetmap.org/relation/9648372 https://www.skimap.org/SkiAreas/view/3140
Arabichl,Austria,"Lower Austria;Styria",Semmering,operating,yes,yes,4,49,140,1369,1508,1,1,europe,,http://www.arabichllift.at/,https://openskimap.org/?obj=015da41ed0e3579ed13349c36dfbb528743109a2,015da41ed0e3579ed13349c36dfbb528743109a2,Polygon,47.571564,15.908656,https://www.openstreetmap.org/way/335621978
,Germany,Bavaria,Bischofsgrün,operating,no,yes,,6,89,621,710,,,europe,,,https://openskimap.org/?obj=015dd88c-06df-4cd1-acde-47a52d1734fa,015dd88c-06df-4cd1-acde-47a52d1734fa,Point,50.059081,11.748113,
,Norway,Nordland,,operating,no,yes,,8,99,117,216,,,europe,,,https://openskimap.org/?obj=0164bd79-910f-482d-8924-52dd005ee40c,0164bd79-910f-482d-8924-52dd005ee40c,Point,66.421220,14.445068,
,Russia,Belgorod,,operating,no,yes,,5,45,233,278,,,europe,,,https://openskimap.org/?obj=0165f00e-1fb9-4c0e-8a3d-17870e1ae3d7,0165f00e-1fb9-4c0e-8a3d-17870e1ae3d7,Point,51.113264,37.258545,
,Russia,Tver,,operating,no,yes,,,,,,,,europe,,,https://openskimap.org/?obj=0169410e-33e3-4462-855a-04e7b53616aa,0169410e-33e3-4462-855a-04e7b53616aa,Point,56.900834,35.916702,
Beartown,United States,Massachusetts,Lee,abandoned,yes,no,,,,,,,,north_america,,https://www.newenglandskihistory.com/Massachusetts/beartownmtn.php,https://openskimap.org/?obj=017ac99f71932c6134c56d13df331011b721faea,017ac99f71932c6134c56d13df331011b721faea,Point,42.271293,-73.269257,https://www.skimap.org/SkiAreas/view/14913
